TWAS	GWAS	Overlapped
EXOC7	LOC112443488	
EXOSC6	LOC112443493	
EXOSC9	LOC112443504	
EZH1	LOC112443691	
EZH2	LOC112443703	
FA2H	LOC112443727	
FABP7	LOC112443811	
FADS2	LOC112443900	
FAHD2A	LOC112444180	
FAIM	LOC112444205	
FAM102A	LOC112444315	
FAM117A	LOC112444339	
FAM131B	LOC112444349	
FAM13A	LOC112444359	
FAM160A1	LOC112444482	
FAM161A	LOC112444490	
FAM162A	LOC112444497	
FAM166A	LOC112444513	
FAM167A	LOC112444609	
FAM168A	LOC112444610	
FAM178B	LOC112444622	
FAM189A2	LOC112444639	
FAM192A	LOC112444649	
FAM19A4	LOC112444766	
FAM204A	LOC112444769	
FAM20B	LOC112444787	
FAM83F	LOC112444807	
FAM83G	LOC112444840	
FAM83H	LOC112444848	
FAM92A	LOC112444856	
FAN1	LOC112444872	
FANCD2	LOC112444874	
FANCG	LOC112444910	
FARP2	LOC112445884	
FAT2	LOC112445910	
FAT4	LOC112445958	
FAU	LOC112445998	
FBP1	LOC112446320	
FBP2	LOC112446324	
FBXL22	LOC112446413	
FBXL7	LOC112446510	
FBXO16	LOC112446632	
FBXO4	LOC112446720	
FBXW12	LOC112446787	
FBXW4	LOC112446821	
FCER1A	LOC112446824	
FCER2	LOC112446884	
FCHO1	LOC112446893	
FCMR	LOC112446982	
FCRL5	LOC112446987	
FDX1	LOC112446995	
FERMT1	LOC112447000	
FERMT2	LOC112447004	
FERMT3	LOC112447013	
FEZ1	LOC112447016	
FEZ2	LOC112447017	
FGFR3	LOC112447018	
FGFRL1	LOC112447059	
FGL1	LOC112447111	
FHL2	LOC112447133	
FHL3	LOC112447169	
FIBP	LOC112447179	
FJX1	LOC112447214	
FKBP2	LOC112447293	
FKBP8	LOC112447333	
FKRP	LOC112447378	
FLNC	LOC112447478	
FLOT1	LOC112447496	
FLYWCH1	LOC112447502	
FMN1	LOC112447503	
FN3K	LOC112447538	
FNBP1	LOC112447543	
FNDC1	LOC112447568	
FNDC10	LOC112447572	
FOSL2	LOC112447593	
FOXF1	LOC112447597	
FOXN3	LOC112447760	
FOXP2	LOC112447770	
FPGT	LOC112447793	
FRA10AC1	LOC112447801	
FRG1	LOC112447807	
FRRS1	LOC112447809	
FRRS1L	LOC112447864	
FRY	LOC112447868	
FTH1	LOC112447902	
FUBP3	LOC112447953	
FUS	LOC112447965	
FUT1	LOC112447966	
FXR2	LOC112448033	
FXYD1	LOC112448063	
FXYD3	LOC112448074	
FYB1	LOC112448102	
FYCO1	LOC112448109	
GABARAPL2	LOC112448148	
GABBR2	LOC112448159	
GALNT12	LOC112448167	
GALNT14	LOC112448171	
GALNT3	LOC112448173	
GALNT6	LOC112448181	
GAR1	LOC112448186	
GAREM2	LOC112448200	
GAS1	LOC112448209	
GAS6	LOC112448262	
GATC	LOC112448267	
GATD3A	LOC112448284	
GBA3	LOC112448287	
GCDH	LOC112448303	
GCK	LOC112448311	
GEM	LOC112448420	
GEMIN2	LOC112448447	
GEMIN6	LOC112448482	
GGT1	LOC112448546	
